Time,theta1,theta1dot,theta2,theta2dot
0.8178148984626642,0.04039698167244569,-0.09070455324651608,-0.14813841164071886,0.37105457943029935
0.8278661396893502,0.039489613490948657,-0.08984763062292941,-0.14439575583675981,0.37365011108078344
0.83790592196984,0.038591766728817534,-0.0890138905770175,-0.14063163898536649,0.3761796636426879
0.8479337115925962,0.0377032365585594,-0.08820338498302174,-0.1368469862101175,0.3786425828013794
0.8579490142562997,0.036823813732371015,-0.08741615750610522,-0.13304271560955971,0.3810382580843212
0.8679513775946471,0.03595328464340665,-0.08665224364121805,-0.12921973623692068,0.3833661226641167
0.8779403892578818,0.03509143176818043,-0.08591167111793208,-0.12537894779351663,0.3856256520069705
0.8879156809425028,0.03423803358112124,-0.08519445986670185,-0.12152123807898073,0.38781636381910717
0.897876929215255,0.03339286474448808,-0.08450062226757458,-0.11764748167790047,0.3899378170990672
0.9078238529788251,0.03255569656929018,-0.08383016364161591,-0.11375853999573905,0.3919896104136957
0.9177562151421003,0.03172629710238305,-0.08318308244810636,-0.10985525971338171,0.3939713810422425
0.927673822894095,0.03090443132164801,-0.08255937059987789,-0.10593847181859901,0.3958828037329281
0.9375765258982907,0.030089861488479242,-0.0819590139155467,-0.1020089915075121,0.3977235890155706
0.9474642156405982,0.029282347385843607,-0.08138199249065159,-0.09806761769137531,0.39949348174109517
0.9573368240298535,0.028481646600866627,-0.0808282811103617,-0.09411513285565967,0.4011922594758624
0.9671943232327236,0.027687514690293204,-0.08029784958735256,-0.0901523024812287,0.4028197311111007
0.9770367241353897,0.02689970544190892,-0.07979066317576665,-0.08617987506702775,0.4043757352276328
0.9868640740780249,0.026117971176079655,-0.07930668300809209,-0.08219858250653063,0.40586013838200014
0.9966764559650091,0.025342062919975643,-0.07884586644670662,-0.07820913996668798,0.4072728336492661
1.0064739863232968,0.02457173065011516,-0.07840816747749177,-0.0742122462452592,0.4086137390344776
1.0162568145766209,0.023806723423723104,-0.07799353703487921,-0.07020858368524283,0.4098827960945972
1.0260251194012457,0.023046789723991316,-0.07760192343853925,-0.0661988193329467,0.41107996822155307
1.0357791090679909,0.022291677478774426,-0.07723327264149911,-0.0621836045155133,0.4122052395079812
1.0455190185999557,0.02154113431544255,-0.07688752859972237,-0.05816357576634301,0.4132586132484762
1.0552451082845884,0.020794907697020658,-0.07656463356619814,-0.05413935524071968,0.41424011068133065
1.0649576619873407,0.020052745062235953,-0.07626452837719958,-0.050111551253316164,0.4151497697652701
1.0746569853136523,0.019314393966239657,-0.07598715272593855,-0.046080758916989005,0.41598764400753896
1.084343405406049,0.01857960208721142,-0.07573244537595562,-0.042047560136396704,0.41675380148815416
1.0940172662671293,0.017848117563616445,-0.075500344479864,-0.03801252549590126,0.4174483235825208
1.103678931257057,0.017119688778605587,-0.07529078769182293,-0.033976213190880254,0.4180713043216291
1.113328777920415,0.016394064718079603,-0.07510371245984225,-0.029939171182106827,0.4186228492300722
1.122967199297487,0.015670994831617106,-0.07493905614851107,-0.02590193667014977,0.4191030746898569
1.1325946007111822,0.01495022922856626,-0.07479675624650058,-0.021865037481646643,0.41951210707138664
1.1422114002440193,0.014231518591440775,-0.07467675049266394,-0.017828991931135723,0.4198500821235846
1.1518180247498595,0.013514614418845154,-0.07457897705361934,-0.013794310572780367,0.4201171442378149
1.1614149127132736,0.012799268752474852,-0.07450337460462172,-0.009761495093714425,0.4203134460058591
1.1710025098382841,0.012085234443690676,-0.07444988248633246,-0.005731040272771689,0.4204391475874051
1.180581268548082,0.011372265124598943,-0.07441844079649262,-0.0017034343096913214,0.42049441628486756
1.190151647849015,0.010660115149819578,-0.07440899047872725,0.002320840990153742,0.4204794261435946
1.1997152887925735,0.009948452046484651,-0.07442147629512044,0.006341804237790402,0.4203943427990465
1.2092868142556368,0.00923597767669081,-0.07445591634870394,0.010364932136045509,0.4202390454419627
1.2188666935591104,0.008522446168771397,-0.0745123599194692,0.014389746656249716,0.42001338981850134
1.228455390444446,0.007807610975188844,-0.07459085721713904,0.018415764045348917,0.41971723820722023
1.2380533618819645,0.007091224891213159,-0.07469145929809906,0.022442494194752183,0.4193504598126332
1.247661059940457,0.006373039847054281,-0.07481421801258589,0.026469441301653584,0.41891293106573857
1.257278927450544,0.0056528071655474596,-0.07495918588113094,0.030496101936265126,0.41840453619796764
1.2669073971354492,0.004930277565001245,-0.07512641597978416,0.03452196457937428,0.41782516778851
1.2765468933870119,0.004205200966523922,-0.07531596187287579,0.038546510278045766,0.41717472716510995
1.2861978279882391,0.0034773267592758,-0.07552787743498635,0.04256921078494094,0.4164531252046565
1.2958606001236406,0.002746403749234728,-0.0757622167277268,0.04658952851077444,0.4156602829555342
1.3055355952596233,0.0020121801976009076,-0.0760190338503594,0.05060691602325216,0.4147961323654929
1.3152231829165495,0.0012744039493694467,-0.07629838274696715,0.0546208151089468,0.4138606171693235
1.3249237158686595,0.0005328224606413356,-0.07660031703446817,0.058630656454805787,0.4128536937186856
1.3346375289014307,-0.0002128171336577714,-0.07692488980996263,0.06263585917177616,0.4117753318945921
1.3443649372021291,-0.000962767916073145,-0.07727215343334734,0.06663583019652489,0.4106255161141242
1.3541062351012971,-0.001717283101140045,-0.07764215930766222,0.07062996387019777,0.4094042463554394
1.3638616938848072,-0.0024766158684321653,-0.07803495761002681,0.07461764117100333,0.40811153935568817
1.3736315580243414,-0.003241019059694861,-0.0784505969301207,0.07859822834618956,0.4067474301193237
1.383416045282916,-0.004010745164648397,-0.0788891240421059,0.08257107717425714,0.40531197299246224
1.3932153455360932,-0.00478604619678801,-0.07935058362320518,0.08653552473881855,0.4038052429197611
1.403029619381973,-0.005567173540566653,-0.07983501795291126,0.09049089315973095,0.40222733676874434
1.4128589952004902,-0.0063543776610471,-0.08034246651906278,0.09443648874907559,0.4005783749585371
1.4227035678754332,-0.007147907929495962,-0.0808729656833042,0.09837160189431984,0.3988585028926677
1.432563396851106,-0.00794801238039751,-0.08142654829922463,0.10229550672763556,0.39706789254213193
1.442438506308712,-0.008754937624995117,-0.08200324343869585,0.10620746169240332,0.39520674367285574
1.4523288808306152,-0.009568928381538663,-0.08260307585036492,0.11010670837269883,0.39327528593026584
1.4622344669188598,-0.010390227465436459,-0.08322606574310923,0.11399247270446337,0.3912737798623825
1.4721551685056293,-0.011219075268805853,-0.08387222820072039,0.11786396387257718,0.38920251911642423
1.4820908486618904,-0.01205570973399484,-0.08454157296969635,0.12172037570569978,0.38706183141711525
1.4920413279148619,-0.012900366031651707,-0.08523410403914895,0.12556088678844768,0.38485208019423306
1.502006383022251,-0.013753276257979275,-0.08594981924045927,0.12938466081393343,0.3825736661214887
1.511985746138979,-0.014614669147218661,-0.08668870986899987,0.13319084714635007,0.38022702855673096
